id,Date,Open,High,Low,Close,Adj Close,Volume
1,1/3/11,100.800003,101.209999,100.43,100.599998,72.686493,269200
2,1/4/11,101.300003,101.300003,98.849998,99.839996,72.137367,259700
3,1/5/11,99.480003,100.290001,98.940002,100.18,72.383011,197800
4,1/6/11,100.550003,100.610001,98.959999,99.379997,71.804985,184000
5,1/7/11,99.389999,100.32,99.050003,100,72.252991,218800
6,1/10/11,99.769997,99.889999,98.900002,99.790001,72.101242,183800
7,1/11/11,100.449997,101.349998,100.220001,101.309998,73.199478,217600
8,1/12/11,102.220001,102.639999,101.720001,102.529999,74.080978,225900
9,1/13/11,102.650002,102.959999,101.919998,102.32,73.929222,139800
10,1/14/11,102.239998,103.400002,101.830002,103.349998,74.673439,133100
11,1/18/11,103.489998,104.059998,103.07,104.059998,75.18644,291300
12,1/19/11,104.349998,104.349998,102.580002,102.690002,74.196571,263900
13,1/20/11,102.089996,102.169998,100.459999,101.849998,73.589645,218400
14,1/21/11,102.980003,103.110001,101.849998,102.330002,73.936485,139600
15,1/24/11,102.389999,102.879997,101.849998,102.660004,74.174904,242700
16,1/25/11,102.410004,102.540001,101.190002,102.220001,73.856995,256300
17,1/26/11,102.650002,104.93,102.620003,104.68,75.634407,465300
18,1/27/11,104.860001,104.970001,103.760002,104.25,75.3237,305300
19,1/28/11,104.279999,104.580002,103.519997,103.849998,75.034714,196900
20,1/31/11,104.599998,106.690002,104.279999,106.68,77.07946,261600
21,2/1/11,107.120003,108.790001,107.089996,108.620003,78.481186,331800
22,2/2/11,108.389999,109.360001,107.980003,108.57,78.44503,471400
23,2/3/11,108.690002,108.690002,107.25,108.639999,78.495621,176600
24,2/4/11,108.839996,108.879997,107.669998,108.239998,78.206619,179700
25,2/7/11,108.75,109.860001,108.75,109.059998,78.799088,245500
26,2/8/11,108.989998,109.050003,107.809998,108.699997,78.538963,220800
27,2/9/11,108.169998,108.610001,106.629997,107.349998,77.56356,209800
28,2/10/11,106.730003,108.589996,106.709999,108.440002,78.35112,184100
29,2/11/11,108.190002,109.040001,107.839996,108.440002,78.35112,149300
30,2/14/11,108.449997,111.010002,108.449997,110.900002,80.12854,278500
31,2/15/11,110.870003,110.980003,109.290001,109.709999,79.26873,193600
32,2/16/11,110.25,111.269997,109.949997,111.18,80.330849,225400
33,2/17/11,111.25,112.5,111,112.260002,81.111191,359800
34,2/18/11,112.519997,112.919998,111.75,112.639999,81.385765,274300
35,2/22/11,113.419998,114.139999,110.970001,111.529999,80.583733,413600
36,2/23/11,112.07,114.349998,112,113.540001,82.036034,547500
37,2/24/11,114.080002,114.099998,111.470001,112.110001,81.002808,376500
38,2/25/11,112.459999,113.970001,112.279999,113.959999,82.339493,247600
39,2/28/11,114.330002,115.059998,113.639999,114.709999,82.881378,336100
40,3/1/11,115.300003,115.580002,112.529999,112.650002,81.392998,287500
41,3/2/11,112.389999,113.349998,111.370003,113.220001,81.80481,267500
42,3/3/11,113.879997,115.099998,113.559998,114.989998,83.083702,216100
43,3/4/11,115.209999,115.209999,113.580002,114.419998,82.671844,208000
44,3/7/11,114.900002,115.699997,113,113.599998,82.079353,220000
45,3/8/11,113.68,113.68,111.68,112.669998,81.407425,227200
46,3/9/11,112.349998,113.07,111.57,111.860001,80.822174,151700
47,3/10/11,110.330002,110.529999,107.449997,107.75,77.85257,474500
48,3/11/11,106.669998,110.32,106.449997,109.599998,79.18924,350500
49,3/14/11,108.870003,110.400002,108.309998,110.139999,79.579414,268100
50,3/15/11,106.900002,110.080002,106.239998,109.209999,78.907471,275700
51,3/16/11,109.540001,110.470001,106.339996,107.459999,77.643066,535700
52,3/17/11,109.019997,111.050003,108.82,110.669998,79.962379,174700
53,3/18/11,111.629997,112.129997,110.099998,110.43,79.788956,197700
54,3/21/11,112.139999,113.550003,111.93,113.550003,82.043259,268400
55,3/22/11,113.75,113.900002,112.940002,113.309998,81.869827,273000
56,3/23/11,113.330002,113.82,112.5,113.449997,81.971008,232300
57,3/24/11,113.959999,114,112.720001,113.779999,82.209442,214400
58,3/25/11,114.07,115.309998,113.650002,114.879997,83.004219,131600
59,3/28/11,114.900002,116.050003,114.550003,114.699997,82.874161,225200
60,3/29/11,114.43,116.230003,114.129997,115.989998,83.806229,176000
61,3/30/11,116.860001,117.449997,115.959999,116.989998,84.52874,180300
62,3/31/11,117.57,118.25,116.730003,116.730003,84.340904,173200
63,4/1/11,117.849998,118.07,116.849998,117.230003,84.702164,165700
64,4/4/11,117.769997,117.900002,117.120003,117.32,84.767212,203900
65,4/5/11,117.209999,118.190002,117.059998,117.599998,84.96949,139700
66,4/6/11,118.25,118.43,115.879997,116.290001,84.022964,153900
67,4/7/11,116.120003,116.839996,115.400002,116.419998,84.116882,86400
68,4/8/11,117.019997,117.669998,116.18,116.860001,84.434822,89300
69,4/11/11,117.110001,117.110001,114.07,114.349998,82.621262,174500
70,4/12/11,113.059998,113.190002,110.230003,110.980003,80.186348,658000
71,4/13/11,111.769997,112.330002,110.559998,111.410004,80.49704,120200
72,4/14/11,110.879997,112.470001,110.389999,112.169998,81.046173,118600
73,4/15/11,112.589996,113.360001,111.68,113.279999,81.848152,109800
74,4/18/11,111.910004,111.910004,110.300003,111.419998,80.504265,239700
75,4/19/11,111.300003,112.699997,111.300003,112.559998,81.32795,107500
76,4/20/11,114.669998,115.110001,114.080002,115,83.090897,151200
77,4/21/11,115.269997,115.889999,114.800003,115.779999,83.654503,137800
78,4/25/11,115.989998,116.029999,114.510002,115.190002,83.228195,130400
79,4/26/11,115.43,116.5,115.160004,116.370003,84.080788,137400
80,4/27/11,116.879997,116.879997,114.379997,116.300003,84.030205,107000
81,4/28/11,115.860001,116.610001,115.169998,116.029999,83.835114,150800
82,4/29/11,116.160004,118.089996,116.160004,118.089996,85.323547,168000
83,5/2/11,118.160004,118.43,115.660004,116.400002,84.10247,198000
84,5/3/11,115.690002,115.690002,112.480003,113.419998,81.94931,269300
85,5/4/11,113.029999,113.099998,110.349998,111.25,80.381424,390300
86,5/5/11,109.639999,110.699997,107.720001,108.949997,78.719612,618400
87,5/6/11,109.830002,111.809998,108.32,109.370003,79.023087,401900
88,5/9/11,109.910004,111.910004,109.730003,111.339996,80.44648,207900
